20;1.067997978;20;1.007413453;20;1.048580302;20;17.5;20;2.282208589;20;4.838709677;;;
50;1.051893408;50;1.045454545;50;1.1;50;9.142857143;50;5.225694444;50;7.973421927;;;
100;1.307189542;100;1.171875;100;1.391304348;100;5.257142857;100;12.5;100;36.4;;;
200;1.596715328;200;1.344;200;1.630652261;200;3.575810692;200;17.76515152;200;93.58208955;;;
500;2.41617357;500;1.823979592;500;2.021052632;500;2.878787879;500;77.77777778;500;23.14285714;;;
1000;3.296703297;1000;2.280701754;1000;3.528571429;1000;2.692307692;1000;375;1000;2.133333333;;;
2000;5.8403634;2000;3.194444444;2000;10.64;2000;1.353383459;2000;120.7729469;2000;5.06;;;
5000;17.54385965;5000;3.259259259;5000;11.42045455;5000;8.059701493;5000;2.166666667;5000;36.92307692;;;
10000;17.43589744;10000;9.6;10000;17.24137931;10000;4.142857143;10000;1.859375;10000;50.58823529;;;
